t,agent_id,type,x,y,v,serving_cell,snr_dB,los
132,veh2,veh,685.1020480504059,557.5772451586881,8.675856333831325,g2,1.9,0
132,veh3,veh,826.1680790672368,339.77256566180387,10.549983164077593,g2,2.9,0
133,ped0,ped,371.64356335826716,446.10554023965443,0.9608291731482798,g0,-0.3,0
133,ped1,ped,663.5723868571217,561.1774626162522,1.151136014951335,g2,1.1,0
133,ped2,ped,595.556355562205,297.12438298555435,1.0742505958753301,g0,62.2,1
133,ped3,ped,791.2030118875463,493.6149923110621,1.2088593210925722,g2,7.7,0
133,ped4,ped,520.2191511343601,526.9111192187819,1.098234583820239,g0,1.0,0
133,veh1,veh,607.0918233557894,491.9006857259502,13.507355580319494,g0,3.2,0
133,veh2,veh,692.1701601070616,555.1811864925102,7.461364967735017,g2,2.2,0
133,veh3,veh,818.0869667840415,330.8084692249814,12.06745009957035,g0,2.4,0
134,ped0,ped,372.6755747767283,446.1297268689732,1.032302823633654,g0,-0.3,0
134,ped1,ped,664.3400606455998,560.9173495571669,0.8105848818010418,g2,1.1,0
134,ped2,ped,596.3805875047376,295.2772514763683,0.7454123886806581,g0,62.2,1
134,ped3,ped,790.868147755946,492.56580608174266,1.1101401090169867,g2,7.6,0
134,ped4,ped,521.3378036498868,526.6745910566634,0.39136366567608877,g0,1.0,0
134,veh1,veh,594.8507389605967,497.4703346391827,13.46979630573544,g0,2.9,0
134,veh2,veh,696.3074732602436,553.7786556673178,4.367503397549037,g2,2.4,0
134,veh3,veh,809.9195072293581,321.7485907668791,12.19639168006056,g0,2.8,0
135,ped0,ped,373.65076003766706,446.1525816979038,0.9754606203234288,g0,-0.3,0
135,ped1,ped,665.5247916434797,560.5159238361417,1.250954572496703,g2,1.1,0
135,ped2,ped,595.6891252676235,297.46647731203996,1.1629470961430344,g0,62.3,1
135,ped3,ped,790.5306578055834,491.50839271602314,1.1188452119289851,g2,7.6,0
135,ped4,ped,521.9086156334004,526.5538984309359,0.19970014564755345,g0,1.0,0
135,veh1,veh,582.8272032124183,503.1571402071909,13.306755397192978,g0,2.6,0
135,veh2,veh,702.2628088623048,551.7081779972385,6.309958290225362,g2,2.6,0
135,veh3,veh,803.9105589517975,315.08307369988523,8.973106788919694,g0,3.1,0
136,ped0,ped,374.50933297612244,446.1727035541489,0.8588153704583722,g0,-0.2,0
136,ped1,ped,666.5893466711008,560.1552176755886,1.124061058468069,g2,1.2,0
136,ped2,ped,596.6522910216719,290.9786068111455,0.0,g0,61.4,1
136,ped3,ped,790.1847304163479,490.42454342050183,1.146816972491619,g2,7.5,0
136,ped4,ped,522.0355744006114,526.527054238073,0.04441687461994023,g0,1.0,0
136,veh1,veh,570.7400899756861,509.18587770176447,13.513185048991659,g0,2.3,0
136,veh2,veh,710.4863563973681,548.8155823985188,8.72117711274,g2,3.0,0
136,veh3,veh,800.9150894932355,311.76030374457304,4.473106788919694,g0,3.3,0
137,ped0,ped,375.36540698465234,446.1927668444801,0.8563157349194321,g0,-0.2,0
137,ped1,ped,667.3911131828097,559.8835528836379,0.8465833051485243,g2,1.2,0
137,ped2,ped,597.9122142128398,290.8116079704008,1.2708524346721242,g0,61.7,1
137,ped3,ped,789.7991480067715,489.21644820749077,1.2782811230232374,g2,7.5,0
137,ped4,ped,522.0801810417753,526.5176225989301,0.01560575635159929,g0,1.0,0
137,veh1,veh,559.0810754718486,515.1764441780813,13.112810426022701,g0,1.9,0
137,veh2,veh,720.8531895430383,545.1450980875461,10.999426444350277,g2,3.5,0
137,veh3,veh,797.3313573231043,308.24806603646874,5.028411762053854,g0,3.4,0
138,ped0,ped,376.0918609481919,446.20979230797684,0.7266590896057701,g0,-0.2,0
138,ped1,ped,668.3911855187716,559.5446955740384,1.0559739415426157,g2,1.2,0
138,ped2,ped,599.1647985557565,290.6455818708192,1.2634499253501417,g0,62.1,1
138,ped3,ped,789.4908723612535,488.2505682233721,1.0219940758871475,g2,7.4,0
138,ped4,ped,522.1045004481105,526.5124804976928,0.00850821133307356,g0,1.0,0
138,veh1,veh,546.8426629175232,521.351689432086,13.714824039609015,g0,1.5,0
138,veh2,veh,731.6843790139422,541.310203625226,11.492118201959157,g2,4.1,0
138,veh3,veh,791.8433680664498,308.31772975802863,5.893758740798346,g0,3.7,0
139,ped0,ped,376.769176195409,446.22566613700945,0.6775064981692898,g0,-0.2,0
139,ped1,ped,669.3873972810635,559.2071463534244,1.0518975712158136,g2,1.3,0
139,ped2,ped,600.0008283114182,290.53476876649484,0.8432819221750832,g0,62.3,1
139,ped3,ped,789.2926790280226,487.6295948304467,0.6570496741708322,g2,7.4,0
139,ped4,ped,522.1082388065413,526.5116900582697,0.0013078750003181062,g0,1.0,0
139,veh1,veh,535.3333520226049,526.6865044108057,12.690262857828133,g0,1.2,0
139,veh2,veh,741.2948421842998,537.9075199134011,10.196902106274976,g2,4.6,0
139,veh3,veh,787.7339069172108,311.6124876035681,5.27629803548172,g0,3.9,0
140,ped0,ped,377.57149609480484,446.24446962469824,0.8025464474403027,g0,-0.2,0
140,ped1,ped,670.465315906629,558.8419121675643,1.1381716489596876,g2,1.3,0
140,ped2,ped,600.9991121952716,290.4024493898009,1.006943528924894,g0,62.5,1
140,ped3,ped,789.0752208935378,486.948261541436,0.7209162592896771,g2,7.4,0
140,ped4,ped,522.110044311427,526.511308301874,0.0006316608604274138,g0,1.0,0
140,veh1,veh,523.2977127558062,530.5078214533081,12.694320621554583,g0,0.9,0
140,veh2,veh,748.4826055969553,535.362618064744,7.6263670733348805,g2,5.0,0
